rank,restaurant name,general rating,number of reviews,tags,address,phone number,website url,menu url,timetable,email address,travelers choice,michelin,food rating,service rating,value rating,atmosphere rating,description,dutch description,price range,cuisines,special diets,meals,restaurant features,id
#245,DEDEOGLU,4.5 of 5 bubbles,33 reviews,$|Turkish|Vegetarian Friendly,"Dendermondsesteenweg 141, Ghent 9000 Belgium",+32 475 58 36 39,http://www.dedeoglu.be/,,False,,False,False,4.0,4.5,4.5,-1.0,,,No pricing available,Turkish,Vegetarian Friendly,"Lunch, Dinner","Reservations, Table Service, Seating, Wheelchair Accessible",5593316
#2,Renard,4.0 of 5 bubbles,61 reviews,$$$$|French|Seafood|European,"Dendermondse Steenweg 19, Beervelde, Lochristi 9080 Belgium",+32 9 355 77 77,http://www.restaurant-renard.be/,,False,,False,False,4.0,4.5,4.0,-1.0,,,No pricing available,"French, Seafood, European",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Parking Available, Wheelchair Accessible, Serves Alcohol, Table Service, Outdoor Seating, Private Dining",6909704
#2,'t Stadhuis van Raverschoot,4.0 of 5 bubbles,68 reviews,$$ - $$$|Belgian|European,"Raverschoot 14, Adegem 9991 Belgium",+32 9 377 24 32,http://www.stadhuisvanraverschoot.be/,http://www.stadhuisvanraverschoot.be/menu/menu,True,,False,False,4.0,4.0,3.5,4.0,"Restaurant Frans-Belgische keuken. We hebben een vernieuwde kaart met tapas, cocktails, mocktails. Ook grillades, paling en seizoengebonden suggesties. Welkom!!!","restaurant gelegen aan het de Raverschootbrug over het Schipdonkkanaal, op de grens met Eeklo Adegem Maldegem, grill en visgerechten, ook glutenvrij, suggestiemenu en seizoensgebonden suggesties, kindergerechten, aanlegsteiger voor boten",€11 - €27,"Belgian, European",,"Dinner, Lunch","Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Table Service, Accepts Credit Cards",4795043
#246,L'Apéro D'Oc,4.0 of 5 bubbles,100 reviews,$$ - $$$|French|Mediterranean|European,"Ajuinlei 22, Ghent 9000 Belgium",+32 472 53 53 23,http://www.laperodoc.be/,,True,info@laperodoc.be,False,False,4.5,4.0,4.0,3.5,,,No pricing available,"French, Mediterranean, European, Wine Bar",Vegetarian Friendly,"Lunch, Dinner","Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",5990369
#4,Restaurant Arno,4.0 of 5 bubbles,92 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Vesten 9, Beveren 9120 Belgium",+32 3 775 91 85,http://www.restaurantarno.be/,https://restaurantarno.be/menu/menu-arno/,True,info@restaurantarno.be,False,False,4.0,4.0,4.0,4.0,,,No pricing available,"European, Belgian",Vegetarian Friendly,"Dinner, Lunch","Reservations, Seating, Serves Alcohol, Table Service",3806497
#5,Restaurant VAS,5.0 of 5 bubbles,14 reviews,$$ - $$$|Belgian|European,"Kloosterstraat 13, Beveren 9120 Belgium",+32 468 53 70 43,http://www.restaurantvas.be/nl/,https://www.restaurantvas.be/nl/menu-nl/restaurantmenu.html,True,info@restaurantvas.be,False,True,4.5,5.0,4.5,-1.0,"Ons restaurant staat voor top kwaliteit, product, puurheid, vas gekweekt en dit allemaal verwerkt in een no-nonsense keuken. zowel op uw bord als in uw glas. Gedreven gaan we op zoek naar de beste producten en dan nog liefst die uit eigen streek.",,No pricing available,"Belgian, European",,Dinner,"Reservations, Accepts Credit Cards, Table Service, Seating",23613784
#1,Restaurant SIES,4.5 of 5 bubbles,23 reviews,$$ - $$$|Belgian|European,"Stee 5 Gelegen aan het Marktpein, Watervliet 9988 Belgium",+32 9 373 65 10,http://www.restaurantsies.be/,,True,,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, European",,"Lunch, Dinner","Reservations, Seating, Table Service",17449457
#13,Happy Days,4.5 of 5 bubbles,37 reviews,$|Belgian|Dutch|European,"Vlasmarkt 33/7, Dendermonde 9200 Belgium",+32 52 57 79 77,http://www.happydaysonline.be/,https://www.facebook.com/pg/HappyDaysFan/menu/,True,happydaysstandaardlekker@gmail.com,False,False,4.5,4.5,4.5,-1.0,"Breakfast- Lunch- Desserts-Coffee-Burgerbar , Secondhandbookstore , take-awayshop ... Familybusiness who considers every guest as a friend and guest in stead of a customer. Relaxed environment with a relaxed and unstressed service :)",,No pricing available,"Belgian, Contemporary, Dutch, European, Pub, Soups, Central European","Vegetarian Friendly, Vegan Options","Breakfast, Brunch, Drinks, Lunch, Dinner","Gift Cards Available, Reservations, Wheelchair Accessible, Outdoor Seating, Seating, Table Service",8397704
#247,Pulpo 2 Gent-centrum,4.5 of 5 bubbles,41 reviews,$$ - $$$|Belgian|Mediterranean|European,"Gebroeders Vandeveldestraat 6, Ghent 9000 Belgium",+32 472 19 23 83,http://www.restopulpo.com/,https://www.pulpogent.com/menu,True,gent@restopulpo.be,False,False,5.0,4.5,4.5,-1.0,"Ontdek een mediterraans concept waar we je onderdompelen in de mediterrane sferen. We verwelkomen je in een losse, zuiderse sfeer in Gent-centrum voor heerlijke gerechten zoals truffelravioli, escalope milanese, parmigiana, croquetas, churros. En natuurlijk de ""pulpo"".",,€14 - €29,"Mediterranean, European, Belgian",,"Lunch, Dinner","Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Delivery, Wine and Beer, Free Wifi, Accepts Credit Cards, Dog Friendly, Family style, Non-smoking restaurants",19394906
#248,Asian Delight,4.5 of 5 bubbles,19 reviews,$$ - $$$|Indian|Asian|Thai,"Normaalschoolstraat 7, Ghent 9000 Belgium",+32 9 286 09 89,http://www.asiandelightgent.be/,,False,asiandelightgent@gmail.com,False,False,4.5,4.5,4.5,-1.0,"Authentic Indian, Nepali & Thai Cuisine",,€12 - €25,"Indian, Asian, Nepali, Thai","Vegetarian Friendly, Vegan Options","Lunch, Dinner","Reservations, Seating, Accepts Credit Cards, Delivery, Table Service",19488313
#4,Corboo,4.5 of 5 bubbles,48 reviews,$$ - $$$|French|Belgian|European,"Dendermondesteenweg 822, Destelbergen 9070 Belgium",+32 9 278 33 26,http://www.corboo.be/,http://www.corboo.be/pages/menu.php,True,,False,False,4.5,4.5,4.0,-1.0,,,No pricing available,"Belgian, European, French",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",7626341
#3,De Meet,4.0 of 5 bubbles,52 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Nieuwstraat 60F, Stekene 9190 Belgium",+32 3 501 92 93,http://www.eetcafedemeet.be/,http://www.eetcafedemeet.be/onze-lunchmenus/,True,info@eetcafedemeet.be,False,False,4.0,4.0,4.0,-1.0,,,€6 - €30,"Belgian, European",Vegetarian Friendly,"Lunch, Dinner, Drinks","Reservations, Seating, Wheelchair Accessible, Table Service, Outdoor Seating, Parking Available, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards",11535726
#4,Hof te puttens,4.5 of 5 bubbles,39 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Wichelsestraat 20-22, Lede 9340 Belgium",+32 53 80 51 30,http://www.hofteputtens.be/,http://www.hofteputtens.be/content/marktmenu,False,,False,False,4.5,5.0,4.5,-1.0,,,No pricing available,"Belgian, European",Vegetarian Friendly,Dinner,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",4263532
#249,Wabi & Sabi Gent,4.5 of 5 bubbles,25 reviews,$$ - $$$|International|European|Contemporary,"Kraanlei 17, Ghent 9000 Belgium",+32 9 225 18 80,http://www.wabisabigent.be/,http://www.wabisabigent.be/assets/menukaart_website.pdf,True,info@wabisabigent.be,False,False,5.0,5.0,5.0,-1.0,"De eeuwenoude Japanse filosofie gaat terug naar de essentie van het bestaan, naar de meest natuurlijke en onbewerkte vorm, die van eenvoud, puurheid & rust. Wabi-Sabi staat voor de acceptatie van de vergankelijkheid, de schoonheid zien in de onvolmaaktheid en het loslaten van de continue zoektocht naar de perfectie. Deze normen & waarden worden in de hele lijn doorgetrokken. Door middel van sfeer, architectuur en op culinair vlak laten wij jullie die beleving ervaren.","De eeuwenoude Japanse filosofie gaat terug naar de essentie van het bestaan, naar de meest natuurlijke en onbewerkte vorm, die van eenvoud, puurheid & rust. Wabi-Sabi staat voor de acceptatie van de vergankelijkheid, de schoonheid zien in de onvolmaaktheid en het loslaten van de continue zoektocht naar de perfectie. Deze normen & waarden worden in de hele lijn doorgetrokken. Door middel van sfeer, architectuur en op culinair vlak laten wij jullie die beleving ervaren.",No pricing available,"International, European, Contemporary, Fusion",,"Dinner, Lunch, Drinks","Reservations, Seating, Table Service",23484265
#7,La Casita,4.5 of 5 bubbles,44 reviews,$$ - $$$|Spanish|Vegetarian Friendly,"Hoogstraat 66, Zottegem 9620 Belgium",+32 475 29 63 08,http://www.la-casita.be/,http://www.la-casita.be/#menu,True,,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,Spanish,Vegetarian Friendly,"Dinner, Lunch","Reservations, Seating, Wheelchair Accessible, Table Service, Serves Alcohol",10726017
#2,D'ouwe Smisse,4.0 of 5 bubbles,86 reviews,$$ - $$$|French|Belgian|European,"Kloosterstraat 43, Huise 9750 Belgium",+32 9 383 66 51,http://www.douwesmisse.be/,,True,info@douwesmisse.be,False,False,4.5,4.0,4.0,4.5,,,No pricing available,"French, Belgian, European","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",7002851
#250,2bangkok Thai,4.5 of 5 bubbles,23 reviews,$$ - $$$|Asian|Thai|Vegetarian Friendly,"Grootkanonplein 5, Ghent 9000 Belgium",+32 487 26 39 94,http://www.2bangkok.be/,http://www.2bangkok.be/,False,2bangkokthai@gmail.com,False,False,4.5,4.0,4.5,-1.0,OVER ONS In de keuken werken onze koks enkel met verse producten en samen met de rest van het personeel zorgen zij voor de voortreffelijke beleving. 2Bangkok Thai is een ontmoetingsplaats van vele culturen. Maar het belangrijkste is dat u bij ons heerlijk verse Thais eten zult ontdekken. Uw uitgebreide dinermogelijkheden variëren van de lekkerste ‘street cart-gerechten’ tot fijne Thaise gerechten,,€10 - €23,"Thai, Asian",Vegetarian Friendly,Dinner,"Reservations, Seating, Table Service, Gift Cards Available",23190857
#12,Sabatini,4.0 of 5 bubbles,49 reviews,$$ - $$$|Italian|European|Vegetarian Friendly,"Kortrijksesteenweg 114, Sint-Martens-Latem 9830 Belgium",+32 9 282 80 35,,,False,,False,False,4.0,4.0,3.5,3.5,,,No pricing available,"Italian, European",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service",740774
#6,Hotel Beveren - OZZO Sushi & Lounge,4.0 of 5 bubbles,137 reviews,$$ - $$$|Japanese|Seafood|Sushi,"Gentseweg 280, Beveren 9120 Belgium",+32 3 775 86 23,http://www.hotelbeveren.be/,,True,info@hotelbeveren.be,False,False,4.0,3.5,3.5,-1.0,"OZZO Sushi & Lounge is our newly opened sushi restaurant with a stylish bar, which is open daily from 12pm to 10pm, inclusive holidays. The OZZO bar stays open until 1am. The sushi chefs uses local high quality products such as gray North Sea shrimps or crayfish in combination with apple. Because of that, it’s no coincidence that OZZO Sushi & Lounge had already received an honorable mention of 13/20 after almost one year in the Gault & Millau. OZZO Sushi & Lounge also has a take-away service, to enjoy the dishes at home.","OZZO Sushi & Lounge is ons recent geopende sushi restaurant met een stijlvolle bar, die inclusief feestdagen doorlopend open is van 12u00 - 22u00. De OZZO bar blijft open tot 01u00. De sushi chefs gebruiken lokale hoge kwaliteitsproducten zoals grijze Noordzeegarnalen of rivierkreeftjes in combinatie met appel. Niet voor niets dus dat OZZO Sushi & Lounge al na amper één jaar een eervolle vermelding van 13/20 kreeg in de Gault&Millau. OZZO Sushi & Lounge beschikt ook over een take away service, dus u kan de heerlijke sushi-gerechten ook afhalen voor bij u thuis.",€15 - €50,"Japanese, Seafood, Sushi, Asian",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Table Service, Takeout",7927223
#6,THOOFTgerecht,4.0 of 5 bubbles,60 reviews,$$ - $$$|Belgian|Dutch|Seafood,"Hundelgemsesteenweg 57, Merelbeke 9820 Belgium",+32 9 324 33 47,http://www.thooftgerecht.be/,http://www.thooftgerecht.be/#main-menu,False,,False,False,4.5,4.0,4.0,4.0,,,No pricing available,"Belgian, European, Dutch, Seafood, Central European",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Highchairs Available",4605246
#8,'t Biezemhof,4.0 of 5 bubbles,95 reviews,$$ - $$$|Belgian|Dutch|European,"Kattewegel 1, Aalter 9880 Belgium",+32 9 374 27 03,http://biezemhof.be/,https://biezemhof.be/nl/feestmenus,True,,False,False,4.0,4.5,4.0,4.0,,,No pricing available,"Belgian, Dutch, European",,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service, Parking Available, Highchairs Available, Wheelchair Accessible",740639
#4,Bazalia,4.0 of 5 bubbles,74 reviews,$$ - $$$|Italian|European|Vegetarian Friendly,"Koningin Astridplein 11, Bazel 9150 Belgium",+32 3 744 29 40,http://www.bazalia.be/,https://bazalia.be/mangiare/,True,reservatie@bazalia.be,False,True,4.5,4.5,4.0,5.0,,,No pricing available,"Italian, European","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Serves Alcohol, Free Wifi, Outdoor Seating, Table Service",4892161
#2,Tanderus,4.0 of 5 bubbles,65 reviews,$$ - $$$|Belgian|Dutch|European,"Nokeredorpstraat 30, Nokere 9771 Belgium",+32 56 29 50 60,http://www.tanderus.be/,,False,info@tanderus.be,False,False,4.0,4.0,4.0,4.5,,,No pricing available,"Belgian, Dutch, European",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service",2385392
#251,De Zwarte Zee,4.0 of 5 bubbles,99 reviews,$$ - $$$|Belgian|Bar|Cafe,"Graslei 4, Ghent 9000 Belgium",+32 495 28 22 85,http://www.lunchcafe-zwartezee.be/index.html,http://www.lunchcafe-zwartezee.be/menu.html,False,,False,False,4.0,3.5,3.5,3.5,,,No pricing available,"Bar, Cafe, European, Belgian",Vegetarian Friendly,"Lunch, Dinner, Drinks","Outdoor Seating, Seating, Serves Alcohol, Table Service",4047780
#14,Margaretha's,4.5 of 5 bubbles,21 reviews,$$ - $$$|French|Belgian|Dutch,"Markt 40, Oudenaarde 9700 Belgium",+32 55 31 10 01,http://www.margarethas.com/,,True,info@margarethas.com,False,False,5.0,5.0,5.0,-1.0,,,€25 - €75,"French, Belgian, Dutch, European",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Table Service",21272805
#252,Commotie,4.5 of 5 bubbles,31 reviews,$$ - $$$|Vegetarian Friendly,"Victor Braeckmanlaan 367, Ghent 9040 Belgium",+32 477 62 61 10,http://www.commotiegent.be/,,False,info@commotiegent.be,False,True,4.5,5.0,4.5,-1.0,,,No pricing available,,Vegetarian Friendly,Dinner,"Seating, Table Service, Reservations, Serves Alcohol",13417424
#1,Etappe 33,4.5 of 5 bubbles,17 reviews,$$ - $$$|Belgian|Dutch|European,"Bergstraat 33, Kluisbergen-Ruien 9690 Belgium",+32 55 31 51 31,http://www.etappe33.be/,,True,Info@etappe33.be,False,False,-1.0,-1.0,-1.0,-1.0,,,No pricing available,"Belgian, European, Dutch",,"Lunch, Dinner, Drinks","Reservations, Seating, Table Service, Takeout, Outdoor Seating, Private Dining, Parking Available, Free off-street parking, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Playgrounds, Dog Friendly, Family style, Gift Cards Available",21374383
#2,Libertine,4.5 of 5 bubbles,22 reviews,$$ - $$$|Belgian|Seafood|International,"Oudenaardsesteenweg 32, Erpe-Mere 9420 Belgium",+32 53 41 02 68,http://www.restaurantlibertine.be/,https://restaurantlibertine.be/menu/,True,,False,True,5.0,4.5,4.5,-1.0,,,No pricing available,"Belgian, Seafood, International, European, Contemporary, Fusion",,"Lunch, Dinner","Reservations, Table Service, Seating",19323310
#5,Eethuis Chaplin's,4.5 of 5 bubbles,25 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Nieuwstraat 27, Lede 9340 Belgium",+32 53 80 47 79,https://www.facebook.com/Chaplins-296360047211196/?hc_ref=PAGES_TIMELINE,,False,,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, European",Vegetarian Friendly,"Lunch, Dinner","Takeout, Reservations, Table Service, Seating, Wheelchair Accessible",11699627
#4,Den Herberg,4.5 of 5 bubbles,36 reviews,$$ - $$$|Belgian|Bar|Cafe,"Rodendries 24, Waasmunster 9250 Belgium",+32 498 65 19 87,http://www.den-herberg.be/,,False,info@den-herberg.be,False,False,4.0,4.5,4.0,-1.0,,,No pricing available,"Bar, Cafe, Belgian",,Dinner,"Seating, Table Service",8145819
#5,Restaurant Bruun,5.0 of 5 bubbles,14 reviews,$$$$|French|Belgian|European,"Dendermondesteenweg 532, Destelbergen 9070 Belgium",+32 9 229 31 99,http://restaurantbruun.be/,,False,info@restaurantbruun.be,False,False,5.0,4.5,5.0,-1.0,,,No pricing available,"French, Belgian, European",,Dinner,"Reservations, Table Service",23774047
#10,Oliver en Co,4.5 of 5 bubbles,34 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Dam 2, Lokeren 9160 Belgium",+32 9 336 02 29,http://www.oliverenco.be/,http://www.oliverenco.be/all-in-menu.html,False,info@oliverenco.be,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, European",Vegetarian Friendly,Dinner,"Reservations, Serves Alcohol, Table Service, Seating",3800252
#253,Bistro Illyrian,4.5 of 5 bubbles,28 reviews,$$ - $$$|Mediterranean|Grill|Healthy,"Francois Laurentplein 8, Ghent 9000 Belgium",+32 9 238 34 69,http://illyrian.be/,https://illyrian.be/nl,True,info@illyrian.be,False,False,5.0,4.5,4.5,-1.0,"Illyrian *Food, friends, wine* The philosophy at Illyrian originates from our Illyrian roots. We believe that great food enjoyed in good company nourishes the soul. This conviction led us to the creation of Illyrian. We use the finest seasonal products, delivered to us by the best local and organic food suppliers. Everything is prepared on site. Top notch & friendly service is our mantra. See you soon! team Illyrian","Illyrian Food, friends, wine De filosofie van Illyrian is ontstaan uit onze Illyrische erfenis. Goed gezelschap en een keuken vol gerechten die de ziel beroeren, zitten in onze natuur. Bij Illyrian kan u terecht voor authentieke en heerlijke gerechten om te delen, een uniek concept dat mensen dichter bij elkaar brengt. Onze menu is seizoensgebonden en wisselt regelmatig. We gebruiken de smaakvolle & biologische producten. Alle gerechten worden dagelijks vers bereid in onze eigen keuken. Wilt u puur genieten in een gezellige omgeving met vriendelijke bediening? Kom dan zeker langs! U kan ons vinden op het Francois Laurentplein 8 in Gent. We kijken ernaar uit u telkens opnieuw te verwelkomen. Van harte, team Illyrian",€3 - €35,"Healthy, Mediterranean, Grill, Albanian",Vegetarian Friendly,"Dinner, Lunch, Drinks","Reservations, Serves Alcohol, Takeout, Private Dining, Seating, Street Parking, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants, Gift Cards Available",19600555
#254,Belle Histoire,4.5 of 5 bubbles,27 reviews,$$ - $$$|Cafe|Vegetarian Friendly,"Korte Meer 4, Ghent 9000 Belgium",+32 9 336 35 33,http://www.bellehistoire.be/,,True,,False,False,4.5,4.5,4.0,-1.0,,,No pricing available,Cafe,Vegetarian Friendly,"Breakfast, Brunch, Lunch","Reservations, Seating, Free Wifi, Table Service",10280782
#1,Restaurant Napoleon,4.5 of 5 bubbles,34 reviews,$$ - $$$|Belgian|European|Grill,"Rijksweg 160, Machelen, Zulte 9870 Belgium",+32 9 220 72 17,http://www.restaurant-napoleon.be/,http://restaurant-napoleon.be/menu-2.html,False,,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, European, Grill",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Table Service",7890897
#255,Sorelle,4.0 of 5 bubbles,42 reviews,$$ - $$$|Belgian|Dutch|Cafe,"Onderbergen 38, Ghent 9000 Belgium",+32 9 233 00 15,,,False,,False,False,4.0,4.0,4.5,3.0,,,No pricing available,"Belgian, Dutch, European, Cafe",Vegetarian Friendly,"Lunch, Breakfast, Brunch","Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",1962995
#2,Martine's Lusthof,4.0 of 5 bubbles,45 reviews,$$ - $$$|Belgian|European|Vegetarian Friendly,"Burchtstraat 1, Kruibeke 9150 Belgium",+32 498 51 69 74,http://www.delusthof.be/,,True,delusthof@gmail.com,False,False,4.0,4.5,4.5,-1.0,,,No pricing available,"Belgian, European",Vegetarian Friendly,"Dinner, Lunch","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",8407479
#2,Phenomenon,4.5 of 5 bubbles,32 reviews,$$ - $$$|Italian|Seafood|European,"Brusselsesteenweg 350, Ledeberg 9050 Belgium",+32 468 33 66 66,https://www.facebook.com/PhenomenonRestaurant/,,False,,False,False,4.5,4.5,4.5,-1.0,,,No pricing available,"Italian, European, Seafood",,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service",15851261
#15,Le Rubin,4.0 of 5 bubbles,69 reviews,$$ - $$$|Belgian|European,"Markt 17/1 Markt 17/1 9700 Oudenaarde, Oudenaarde 9700 Belgium",+32 474 51 05 77,http://www.brasserielerubin.be/,,True,,False,False,4.0,4.0,4.0,-1.0,,,No pricing available,"Belgian, European",,"Lunch, Dinner","Reservations, Wheelchair Accessible, Table Service, Outdoor Seating, Seating, Serves Alcohol",4601425
#1,De Cluysenaer,4.0 of 5 bubbles,63 reviews,$$ - $$$|Belgian|European,"Kluizendorpstraat 82, Evergem 9940 Belgium",+32 9 357 73 37,http://www.cluysenaer.com/,https://www.cluysenaer.com/menu-1,False,,False,False,4.0,4.0,4.0,4.0,,,€25 - €100,"Belgian, European",,Dinner,"Reservations, Serves Alcohol, Table Service, Seating",1233802
#7,Restaurant Nest,3.5 of 5 bubbles,190 reviews,$$ - $$$|Belgian|Dutch|Seafood,"Gentseweg 280, Beveren 9120 Belgium",+32 3 775 86 23,http://www.restaurantnest.be/restaurant,http://www.restaurantnest.be/menukaart,True,info@hotelbeveren.be,False,False,3.5,3.5,3.5,3.5,"Restaurant Nest is the brand new restaurant of Hotel Beveren. The restaurant spoils you daily with fresh, regional products. You can enjoy a rich breakfast, stylish lunch or captivating dinner. Whether you are a business customer or private. Also in group you are more than welcome. In addition, we regularly work with a Live Cooking Buffet and serve trendy food sharing dishes. You can finish the evening with a delicious cocktail. You can come for breakfast: every weekday 6.30am to 10.30am, lunch: open every day, 7/7 inclusive public holidays from 12pm to 3pm and dinner: every day, 7/7 inclusive public holidays from 5pm to 10pm.","Restaurant Nest is het gloednieuwe restaurant van Hotel Beveren. Het restaurant verwent u dagelijkst met verse, streekgebonden producten. U kan er terecht voor een uitgebreid ontbijt, stijlvolle lunch of zinnenstrelend diner. Of u nu business klant bent of particulier. Ook in groep bent u meer dan welkom. Daarnaast werken we geregeld met een Live Cooking Buffet en worden er ook trendy foodsharing gerechten geserveerd. U kan de avond afsluiten met een heerlijke cocktail. U kan hier terecht voor het ontbijt: elke weekdag 06u30 tot 10u30, lunch: elke dag open, 7/7 inclusief feestdagen van 12u00 tot 15u00 en diner: elke dag, 7/7 inclusief feestdagen van 17u00 tot 22u00.",€15 - €50,"Belgian, Dutch, Seafood, European",Vegetarian Friendly,"Breakfast, Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Table Service",3198465
#20,Resto B'Art,4.0 of 5 bubbles,53 reviews,$$ - $$$|Belgian|Seafood|European,"Pr. Josephine-Charlottelaan 95, Sint-Niklaas 9100 Belgium",+32 3 773 37 64,http://www.restobart.be/,,True,info@restobart.be,False,False,4.0,4.0,3.5,-1.0,,,€27 - €52,"Belgian, European, Seafood",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",8463599
#256,Aroy Aroy,4.5 of 5 bubbles,21 reviews,$$ - $$$|Asian|Thai|Vegetarian Friendly,"Lange Steenstraat 10, Ghent 9000 Belgium",+32 479 12 45 90,https://aroyaroy.be/,,True,hello@aroyaroy.be,False,False,4.5,5.0,4.5,-1.0,"2 brothers bring you the Thai kitchen in their own way, combined with craft beers and natural wines.",,€45 - €55,"Thai, Asian",Vegetarian Friendly,Dinner,"Reservations, Seating, Table Service, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Credit Cards",15234622
#4,BLunch,4.0 of 5 bubbles,45 reviews,$$ - $$$|French|Belgian|European,"Markt 17, Zele 9240 Belgium",+32 52 52 42 17,http://www.blunch.be/,https://www.blunch.be/menu,True,info@blunch.be,False,False,4.5,4.0,4.0,-1.0,In blunch hebt u de keuze tussen een klassiek belgisch-franse kaart of een hedendaagse 3 of 4 gangen menu.,,No pricing available,"Belgian, European, French",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service, Outdoor Seating, Parking Available, Street Parking, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards",11803061
#22,Brasserie Nobel,4.0 of 5 bubbles,81 reviews,$$ - $$$|Belgian|Dutch|European,"Lange Zoutstraat 56 Bus 1, Aalst 9300 Belgium",+32 53 77 41 79,http://www.brasserienobel.be/,,False,,False,False,4.5,3.5,4.0,-1.0,,,No pricing available,"Belgian, Dutch, European",Vegetarian Friendly,"Breakfast, Lunch","Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",8283429
#10,Alexquise,5.0 of 5 bubbles,27 reviews,$$ - $$$|French|Belgian|European,"Jean-Baptiste Guissetplein 10, Ronse 9600 Belgium",+32 55 31 38 00,https://www.facebook.com/Alexquise/,,True,info@alexquise.be,False,False,5.0,5.0,4.5,-1.0,,,No pricing available,"Belgian, French, European",,"Dinner, Lunch","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",7693867
#257,STEK,4.0 of 5 bubbles,34 reviews,$$ - $$$|Belgian|Cafe|European,"Nederkouter 129, Ghent 9000 Belgium",+32 9 224 06 51,https://www.facebook.com/stekgent/,,True,info@stekgent.be,False,False,4.0,4.5,4.0,-1.0,We serve you: - healthy or guilty breakfast & lunch - delicious coffees and sparkling drinks - homemade desserts - exotic plants - art,,No pricing available,"Belgian, Cafe, European",Vegetarian Friendly,"Breakfast, Lunch, Brunch, Drinks","Reservations, Outdoor Seating, Seating, Accepts Credit Cards, Table Service",12549524
